epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,104.565,0.22273,0.42687,0.78533,0.99446,1,0.995,0.995,0.12843,0.16117,0.77742,0.000218,0.000218,0.000218
92,107.321,0.1896,0.37222,0.7674,0.99577,1,0.995,0.995,0.13113,0.16522,0.77739,0.0001982,0.0001982,0.0001982
93,109.683,0.1645,0.32469,0.79102,0.99654,1,0.995,0.995,0.12928,0.16928,0.77692,0.0001784,0.0001784,0.0001784
94,110.701,0.16536,0.33096,0.74719,0.99726,1,0.995,0.995,0.12715,0.16946,0.77501,0.0001586,0.0001586,0.0001586
95,112.32,0.1547,0.2975,0.76858,0.99738,1,0.995,0.995,0.12886,0.16938,0.77439,0.0001388,0.0001388,0.0001388
96,113.463,0.18764,0.32179,0.78709,0.99746,1,0.995,0.995,0.13206,0.15898,0.7737,0.000119,0.000119,0.000119
97,114.615,0.13263,0.45026,0.65998,0.99748,1,0.995,0.995,0.12872,0.15602,0.77363,9.92e-05,9.92e-05,9.92e-05
98,115.8,0.24177,0.403,0.75493,0.99746,1,0.995,0.995,0.1255,0.15157,0.77337,7.94e-05,7.94e-05,7.94e-05
99,116.88,0.13835,0.28974,0.79689,0.99748,1,0.995,0.995,0.12495,0.14905,0.77338,5.96e-05,5.96e-05,5.96e-05
100,117.981,0.1507,0.30838,0.75993,0.99754,1,0.995,0.995,0.12277,0.14785,0.77363,3.98e-05,3.98e-05,3.98e-05
